지점,지점명,일시,일강수량(mm)
283,경주시,2020-10-03,.4
283,경주시,2020-10-04,.5
283,경주시,2020-10-07,0
283,경주시,2020-10-21,6
283,경주시,2020-10-22,1
283,경주시,2020-10-30,0
283,경주시,2020-11-01,2
283,경주시,2020-11-02,.5
283,경주시,2020-11-18,0
283,경주시,2020-11-19,15.9
283,경주시,2020-11-22,1.2
283,경주시,2020-12-13,.7
283,경주시,2020-12-27,.5
283,경주시,2020-12-29,0
283,경주시,2020-12-30,.6
283,경주시,2021-01-07,0
283,경주시,2021-01-21,0
283,경주시,2021-01-22,.5
283,경주시,2021-01-23,5
283,경주시,2021-01-24,1.3
283,경주시,2021-01-26,12.5
283,경주시,2021-01-28,0
283,경주시,2021-02-01,8.9
283,경주시,2021-02-14,4.4
283,경주시,2021-02-15,3.4
283,경주시,2021-02-25,3
283,경주시,2021-02-26,.5
283,경주시,2021-03-01,36.7
283,경주시,2021-03-02,6.2
283,경주시,2021-03-04,0
283,경주시,2021-03-06,0
283,경주시,2021-03-12,26.7
283,경주시,2021-03-16,.3
283,경주시,2021-03-20,5.4
283,경주시,2021-03-27,8.4
283,경주시,2021-03-28,6.2
283,경주시,2021-04-03,19.4
283,경주시,2021-04-04,17.3
283,경주시,2021-04-09,.3
283,경주시,2021-04-12,8.1
283,경주시,2021-04-13,.1
283,경주시,2021-04-17,0
283,경주시,2021-04-23,0
283,경주시,2021-04-29,0
283,경주시,2021-04-30,0
283,경주시,2021-05-01,11.1
283,경주시,2021-05-02,2.8
283,경주시,2021-05-04,4.5
283,경주시,2021-05-05,.7
283,경주시,2021-05-07,0
283,경주시,2021-05-10,1
283,경주시,2021-05-11,.2
283,경주시,2021-05-15,5.8
283,경주시,2021-05-16,37
283,경주시,2021-05-17,6.7
283,경주시,2021-05-18,.2
283,경주시,2021-05-20,8.6
283,경주시,2021-05-21,0
283,경주시,2021-05-24,1.5
283,경주시,2021-05-28,12.7
283,경주시,2021-05-31,.8
283,경주시,2021-06-03,9.8
283,경주시,2021-06-04,1.5
283,경주시,2021-06-06,0
283,경주시,2021-06-11,4.3
283,경주시,2021-06-12,0
283,경주시,2021-06-15,7.6
283,경주시,2021-06-16,3.3
283,경주시,2021-06-17,.1
283,경주시,2021-06-18,2.9
283,경주시,2021-06-22,0
283,경주시,2021-06-23,.5
283,경주시,2021-06-26,.1
283,경주시,2021-06-28,0
283,경주시,2021-07-03,21.6
283,경주시,2021-07-04,7.9
283,경주시,2021-07-05,24.9
283,경주시,2021-07-06,27.1
283,경주시,2021-07-07,34.3
283,경주시,2021-07-08,7.6
283,경주시,2021-07-09,2.1
283,경주시,2021-07-10,10
283,경주시,2021-07-11,1.5
283,경주시,2021-07-15,26.3
283,경주시,2021-07-16,.9
283,경주시,2021-07-17,11
283,경주시,2021-07-18,0
283,경주시,2021-07-31,0
283,경주시,2021-08-01,38.1
283,경주시,2021-08-02,5.8
283,경주시,2021-08-07,.5
283,경주시,2021-08-08,31.9
283,경주시,2021-08-09,22.1
283,경주시,2021-08-10,19.9
283,경주시,2021-08-11,.6
283,경주시,2021-08-13,6.1
283,경주시,2021-08-14,18
283,경주시,2021-08-15,12.3
283,경주시,2021-08-16,.1
283,경주시,2021-08-17,13.1
283,경주시,2021-08-18,5.9
283,경주시,2021-08-19,.2
283,경주시,2021-08-20,0
283,경주시,2021-08-21,54.3
