
	
12	7/1/2021 10:05	1.2	5	35.82 N	129.07 E	??? ????? ???????? 15km ????			
11	6/25/2021 11:22	1.1	10	35.83 N	129.40 E	??? ????? ???? 16km ????			
10	6/25/2021 10:09	1.2	11	35.83 N	129.40 E	??? ????? ???? 16km ????			
1	6/23/2021 20:23	1.2	12	35.75 N	129.41 E	??? ????? ?????? 20km ????			
1	6/20/2021 19:13	1.1	9	35.80 N	129.32 E	??? ????? ?????? 11km ????			
1	6/16/2021 12:31	1.4	14	35.76 N	129.18 E	??? ????? ???????? 11km ????			
1	6/13/2021 22:38	1.3	13	35.76 N	129.19 E	??? ????? ???????? 11km ????			
1	5/23/2021 12:12	1.2	16	35.76 N	129.19 E	??? ????? ???????? 11km ????			
346	5/21/2021 16:52	1.7	9	35.72 N	129.37 E	??? ????? ?????? 20km ????			
345	5/18/2021 8:56	1.4	8	35.74 N	129.35 E	??? ????? ?????? 17km ????			
1	5/16/2021 5:41	1.8	14	35.77 N	129.17 E	??? ????? ???????? 11km ????			
344	5/12/2021 7:05	0.9	14	35.76 N	129.37 E	??? ????? ?????? 17km ????			
343	4/18/2021 9:07	1.7	16	35.77 N	129.17 E	??? ????? ???????? 11km ????			
342	4/14/2021 15:53	1.7	16	35.83 N	129.40 E	??? ????? ???? 16km ????			
341	4/5/2021 22:46	1.4	14	35.77 N	129.19 E	??? ????? ???????? 10km ????			
340	4/3/2021 21:32	1.7	16	35.76 N	129.19 E	??? ????? ???????? 11km ????			
339	3/30/2021 21:19	0.8	14	35.77 N	129.19 E	??? ????? ???????? 10km ????			
338	3/30/2021 14:29	1.2	17	35.77 N	129.19 E	??? ????? ???????? 10km ????			
337	3/28/2021 19:50	1.3	12	35.78 N	129.20 E	??? ????? ???????? 9km ????			
336	3/25/2021 11:18	1.3	15	35.76 N	129.19 E	??? ????? ???????? 11km ????			
335	3/22/2021 5:10	1.4	12	35.77 N	129.18 E	??? ????? ???????? 10km ????			
334	3/21/2021 8:14	1.2	15	35.77 N	129.19 E	??? ????? ???????? 10km ????			
333	3/17/2021 2:31	1.7	18	35.76 N	129.18 E	??? ????? ???????? 11km ????			
332	3/16/2021 3:05	1.2	17	35.76 N	129.19 E	??? ????? ???????? 11km ????			
331	3/16/2021 2:51	2.6	18	35.76 N	129.19 E	??? ????? ???????? 11km ????			
330	3/13/2021 3:02	1.5	16	35.75 N	129.19 E	??? ????? ???????? 12km ????			
329	3/9/2021 23:02	1.2	16	35.77 N	129.18 E	??? ????? ???????? 10km ????			
328	3/8/2021 20:31	1.4	15	35.77 N	129.19 E	??? ????? ???????? 10km ????			
327	1/17/2021 1:41	1.1	11	35.72 N	129.39 E	??? ????? ?????? 21km ????			
326	1/15/2021 2:53	1	11	35.72 N	129.39 E	??? ????? ?????? 21km ????			
325	1/12/2021 23:23	1.5	11	35.72 N	129.39 E	??? ????? ?????? 21km ????			
324	1/12/2021 23:22	1.3	12	35.72 N	129.39 E	??? ????? ?????? 21km ????			
323	1/11/2021 21:31	1.2	10	35.72 N	129.39 E	??? ????? ?????? 21km ????			
322	1/11/2021 16:32	1.3	12	35.78 N	129.20 E	??? ????? ???????? 9km ????			
321	1/9/2021 17:38	1.2	11	35.70 N	129.37 E	??? ????? ?????? 22km ????			
