Time,Mag,Depth_km,Lat,Lon,Remark
9/12/2016 19:44,5.1,15,35.77 N,129.19 E,??? ????? ???????? 8.2km ????
9/12/2016 19:45,2.4,12,35.78 N,129.20 E,??? ????? ???????? 7km ????
9/12/2016 19:46,2.2,14,35.76 N,129.19 E,??? ????? ???????? 9km ????
9/12/2016 19:48,3.1,16,35.77 N,129.19 E,??? ????? ???????? 8km ????
9/12/2016 19:50,2.2,13,35.77 N,129.18 E,??? ????? ???????? 8km ????
9/12/2016 19:53,2.1,16,35.77 N,129.19 E,??? ????? ???????? 8km ????
9/12/2016 19:55,2.4,18,35.76 N,129.18 E,??? ????? ???????? 9km ????
9/12/2016 20:00,2.4,19,35.78 N,129.16 E,??? ????? ?????? 8km ????
9/12/2016 20:04,2.5,20,35.77 N,129.18 E,??? ????? ???????? 8km ????
9/12/2016 20:07,2.6,21,35.76 N,129.19 E,??? ????? ???????? 9km ????
9/12/2016 20:08,2.7,18,35.76 N,129.18 E,??? ????? ???????? 9km ????
9/12/2016 20:09,2.7,13,35.76 N,129.17 E,??? ????? ???????? 10km ????
9/12/2016 20:10,3.1,18,35.77 N,129.18 E,??? ????? ???????? 8km ????
9/12/2016 20:17,2.3,18,35.76 N,129.19 E,??? ????? ???????? 9km ????
9/12/2016 20:26,2.5,17,35.77 N,129.20 E,??? ????? ???? 8km ????
9/12/2016 20:32,5.8,15,35.76 N,129.19 E,??? ????? ???????? 8.7km ????
9/12/2016 20:34,3.6,12,35.78 N,129.19 E,??? ????? ???????? 7km ????
9/12/2016 20:36,3.4,13,35.75 N,129.18 E,??? ????? ???????? 10km ????
9/12/2016 20:38,3,15,35.78 N,129.20 E,??? ????? ???????? 7km ????
9/12/2016 20:39,3,16,35.77 N,129.19 E,??? ????? ???????? 8km ????
9/12/2016 20:40,3,17,35.76 N,129.18 E,??? ????? ???????? 9km ????
9/12/2016 20:42,2.5,13,35.79 N,129.20 E,??? ????? ???????? 5km ????
9/12/2016 20:43,2.4,13,35.76 N,129.19 E,??? ????? ???????? 9km ????
9/12/2016 20:44,2.5,17,35.76 N,129.18 E,??? ????? ???????? 9km ????
9/12/2016 20:45,2.3,15,35.76 N,129.17 E,??? ????? ???????? 10km ????
9/12/2016 20:45,2.7,14,35.78 N,129.20 E,??? ????? ???????? 7km ????
9/12/2016 20:46,2.4,16,35.76 N,129.17 E,??? ????? ???????? 10km ????
9/12/2016 20:47,2.2,14,35.81 N,129.23 E,??? ????? ???????? 3km ????
9/12/2016 20:47,2.9,16,35.76 N,129.19 E,??? ????? ???????? 9km ????
9/12/2016 20:51,2.6,16,35.75 N,129.16 E,??? ????? ???????? 11km ????
9/12/2016 20:55,2,11,35.76 N,129.18 E,??? ????? ???????? 9km ????
9/12/2016 20:58,2.1,16,35.77 N,129.17 E,??? ????? ???????? 9km ????
9/12/2016 21:00,2.5,18,35.77 N,129.18 E,??? ????? ???????? 8km ????
9/12/2016 21:07,2,15,35.77 N,129.19 E,??? ????? ???????? 8km ????
9/12/2016 21:09,2.2,15,35.77 N,129.19 E,??? ????? ???????? 8km ????
9/12/2016 21:16,2.1,13,35.76 N,129.18 E,??? ????? ???????? 9km ????
9/12/2016 21:20,2.8,19,35.78 N,129.18 E,??? ????? ???????? 7km ????
9/12/2016 21:33,2.3,17,35.76 N,129.02 E,??? ????? ???????? 20km ????
9/12/2016 21:38,2.6,18,35.76 N,129.19 E,??? ????? ???????? 9km ????
9/12/2016 21:54,2.2,16,35.76 N,129.16 E,??? ????? ???????? 10km ????
9/12/2016 21:54,2.1,12,35.77 N,129.19 E,??? ????? ???????? 8km ????
9/12/2016 22:06,2.1,16,35.77 N,129.19 E,??? ????? ???????? 8km ????
9/12/2016 22:08,2,18,35.76 N,129.18 E,??? ????? ???????? 9km ????
9/12/2016 22:13,2.4,17,35.76 N,129.19 E,??? ????? ???????? 9km ????
9/12/2016 22:17,2.5,15,35.76 N,129.18 E,??? ????? ???????? 9km ????
9/12/2016 22:18,2,17,35.77 N,129.18 E,??? ????? ???????? 8km ????
9/12/2016 22:22,2.2,17,35.76 N,129.18 E,??? ????? ???????? 9km ????
9/12/2016 22:23,2.4,17,35.77 N,129.18 E,??? ????? ???????? 8km ????
9/12/2016 22:47,2.1,13,35.77 N,129.19 E,??? ????? ???????? 8km ????
9/12/2016 23:18,3,17,35.76 N,129.17 E,??? ????? ???????? 8km ????
9/12/2016 23:52,3.1,18,35.75 N,129.18 E,??? ????? ???????? 10km ????
9/12/2016 23:53,2.2,16,35.77 N,129.19 E,??? ????? ???????? 8km ????
9/13/2016 0:07,2.2,16,35.76 N,129.19 E,??? ????? ???????? 9km ????
9/13/2016 0:10,2,17,35.76 N,129.18 E,??? ????? ???????? 9km ????
9/13/2016 0:15,2,15,35.76 N,129.18 E,??? ????? ???????? 9km ????
9/13/2016 0:21,2.5,18,35.76 N,129.19 E,??? ????? ???????? 9km ????
9/13/2016 0:32,2.1,16,35.76 N,129.19 E,??? ????? ???????? 9km ????
9/13/2016 0:37,3.1,19,35.78 N,129.21 E,??? ????? ???? 6km ????
9/13/2016 0:45,2.2,17,35.76 N,129.18 E,??? ????? ???????? 9km ????
9/13/2016 1:03,2,17,35.77 N,129.17 E,??? ????? ???????? 9km ????
9/13/2016 1:23,2.2,17,35.75 N,129.19 E,??? ????? ???????? 10km ????
9/13/2016 1:31,2,16,35.77 N,129.18 E,??? ????? ???????? 8km ????
9/13/2016 1:35,2.3,17,35.75 N,129.17 E,??? ????? ???????? 11km ????
9/13/2016 1:37,2.2,17,35.77 N,129.18 E,??? ????? ???????? 8km ????
9/13/2016 1:58,2.5,17,35.77 N,129.18 E,??? ????? ???????? 8km ????
9/13/2016 2:03,2.1,17,35.76 N,129.17 E,??? ????? ???????? 10km ????
9/13/2016 2:03,2.2,14,35.78 N,129.19 E,??? ????? ???????? 7km ????
9/13/2016 2:09,2,17,35.75 N,129.18 E,??? ????? ???????? 10km ????
9/13/2016 3:11,2.1,17,35.75 N,129.17 E,??? ????? ???????? 11km ????
9/13/2016 4:13,2.1,16,35.78 N,129.19 E,??? ????? ???????? 7km ????
9/13/2016 4:41,2.1,17,35.76 N,129.17 E,??? ????? ???????? 10km ????
9/13/2016 4:56,2,15,35.77 N,129.19 E,??? ????? ???????? 8km ????
9/13/2016 5:15,2,16,35.77 N,129.18 E,??? ????? ???????? 9km ????
9/13/2016 6:15,2.3,19,35.77 N,129.18 E,??? ????? ???????? 8km ????
9/13/2016 6:48,2,16,35.78 N,129.18 E,??? ????? ???????? 7km ????
9/13/2016 7:03,2.1,18,35.77 N,129.19 E,??? ????? ???????? 8km ????
9/13/2016 7:47,2.4,17,35.77 N,129.18 E,??? ????? ???????? 8km ????
9/13/2016 8:24,3.2,14,35.76 N,129.17 E,??? ????? ???????? 10km ????
9/13/2016 8:47,2.3,17,35.76 N,129.17 E,??? ????? ???????? 10km ????
9/13/2016 9:23,2.3,17,35.76 N,129.18 E,??? ????? ???????? 9km ????
9/13/2016 10:01,2.3,18,35.78 N,129.19 E,??? ????? ???????? 7km ????
9/13/2016 10:05,2,18,35.76 N,129.18 E,??? ????? ???????? 9km ????
9/13/2016 10:44,2.2,18,35.76 N,129.18 E,??? ????? ???????? 9km ????
9/13/2016 10:58,2,18,35.76 N,129.18 E,??? ????? ???????? 9km ????
9/13/2016 12:27,2.2,18,35.78 N,129.19 E,??? ????? ???????? 7km ????
9/13/2016 12:33,2,18,35.76 N,129.16 E,??? ????? ???????? 10km ????
9/13/2016 13:09,2.3,16,35.77 N,129.17 E,??? ????? ???????? 9km ????
9/13/2016 13:16,2.4,16,35.77 N,129.17 E,??? ????? ???????? 9km ????
9/13/2016 13:18,2.1,16,35.77 N,129.17 E,??? ????? ???????? 9km ????
9/13/2016 14:31,3,14,35.76 N,129.18 E,??? ????? ???????? 9km ????
