지점,일시,강수량(mm)
283,01/06/20 12:00,1
283,01/06/20 15:00,0.5
283,01/06/20 18:00,1.5
283,01/06/20 21:00,5
283,01/07/20 00:00,3
283,01/07/20 03:00,7.5
283,01/07/20 06:00,8.5
283,01/07/20 09:00,9.5
283,01/07/20 12:00,2.5
283,01/07/20 15:00,0.5
283,01/08/20 00:00,18
283,01/08/20 03:00,0.1
283,01/22/20 18:00,0.5
283,01/22/20 21:00,1
283,01/23/20 00:00,3.5
283,01/23/20 03:00,1.5
283,01/23/20 06:00,3
283,01/23/20 09:00,1
283,01/23/20 12:00,0.5
283,01/26/20 15:00,0.5
283,01/26/20 21:00,0.5
283,01/27/20 00:00,1
283,01/27/20 03:00,3
283,01/27/20 06:00,3
283,01/27/20 09:00,6
283,01/27/20 12:00,8.5
283,01/27/20 15:00,13.5
283,01/27/20 18:00,18.5
283,01/27/20 21:00,10.5
283,01/28/20 00:00,8.5
283,01/28/20 03:00,3
283,01/28/20 06:00,6.5
283,01/28/20 09:00,6.5
283,01/28/20 12:00,3
283,01/28/20 15:00,0.5
283,02/12/20 09:00,2
283,02/12/20 12:00,1.5
283,02/12/20 15:00,1
283,02/12/20 18:00,0.5
283,02/16/20 06:00,1
283,02/22/20 00:00,1
283,02/22/20 03:00,0.2
283,02/22/20 06:00,0.1
283,02/25/20 03:00,1
283,02/25/20 06:00,2.5
283,02/25/20 09:00,6.5
283,02/25/20 12:00,6
283,02/25/20 15:00,9.5
283,02/25/20 18:00,6
283,02/25/20 21:00,1.5
283,02/26/20 00:00,1
283,02/26/20 03:00,0.1
283,02/26/20 06:00,0.2
283,02/28/20 15:00,1
283,02/28/20 21:00,0.5
283,03/07/20 12:00,0.3
283,03/07/20 21:00,0.2
283,03/09/20 21:00,0.4
283,03/10/20 00:00,2.1
283,03/10/20 03:00,4
283,03/10/20 06:00,6
283,03/10/20 09:00,2.5
283,03/10/20 12:00,0.5
283,03/10/20 15:00,1.5
283,03/10/20 18:00,0.5
283,03/26/20 21:00,1
283,03/27/20 00:00,2
283,03/27/20 03:00,1
283,03/27/20 12:00,2
283,03/27/20 18:00,0.5
283,03/29/20 09:00,0.1
283,04/11/20 22:00,0.2
283,04/11/20 23:00,0.3
283,04/12/20 01:00,0.5
283,04/12/20 02:00,0.5
283,04/12/20 03:00,1
283,04/12/20 04:00,0.5
283,04/12/20 10:00,0.5
283,04/12/20 11:00,1.5
283,04/12/20 16:00,0.5
283,04/12/20 17:00,0.5
283,04/12/20 20:00,1
