ID,SITE,LAT,LON,AZI,TYPE,DEPTH,QUALITY,REGIME,LOCALITY,COUNTRY,DATE,TIME,NUMBER,SD,METHOD,S1AZ,S1PL,S2AZ,S2PL,S3AZ,S3PL,MAG_INT_S1,SLOPES1,MAG_INT_S2,SLOPES2,MAG_INT_S3,SLOPES3,PORE_MAGIN,PORE_SLOPE,MAG_TYPE,EQ_MAG,MOM,MOM_EXP,EQ_AVG,TOT_LEN,SD_WEIGHT,SAMP_INT,TOP,BOT,NO_MAG_VEN,YOUNG,POISSON,ROCK,AGE,RATIO,DIPAZ,DIP,REF1,REF2,REF3,REF4,COMMENT,LAST_MOD,PLATE,BOUNDARY,DIST,PBE,NEW,ISO
wsm10451,,34.900,127.600,68,HFM,0.11,B,TF,YosuB-12,Korea - Republic of,,,3,19,,68,0,158,0,0,90,8.2,,4.8,,2.9,,,,,,,,,,,,,,,,,andesite,,,,,HAIMLE2003,,,,LAT - LON read of map,20040216,AM,CRB,127,NO,NO,SEA5254
wsm10452,,34.900,127.600,80,HFM,0.19,C,TF,YosuYB-2,Korea - Republic of,,,3,23,,80,0,170,0,0,90,7.3,,5.2,,5.0,,,,,,,,,,,,,,,,,andesite,,,,,HAIMLE2003,,,,LAT - LON read of map,20040216,AM,CRB,127,NO,NO,SEA5253
wsm10453,,37.000,126.800,98,HFM,0.18,B,TF,PyongtaekBL,Korea - Republic of,,,3,3,,98,,8,,,80,11.2,,6.1,,4.8,,,,,,,,,,,,,,,,,gneiss,,,,,HAIMLE2003,,,,LAT - LON read of map,20040216,AM,CRB,67,NO,NO,SEA5252
wsm10454,,37.000,126.800,73,HFM,0.14,D,TF,PyongtaekBL,Korea - Republic of,,,4,34,,73,0,163,0,0,90,11.0,,6.4,,3.7,,,,,,,,,,,,,,,,,gneiss,,,,,HAIMLE2003,,,,LAT - LON read of map,20040216,AM,CRB,67,NO,NO,SEA5251
wsm10455,,34.900,128.600,132,HFM,0.24,B,SS,GojeBH-3,Korea - Republic of,,,4,12,,132,0,42,0,0,90,7.9,,4.7,,6.5,,,,,,,,,,,,,,,,,granodio,,,,,HAIMLE2003,,,,LAT - LON read of map - sharp topographic relief,20040216,AM,CRB,218,NO,NO,SEA5250
wsm10456,,34.900,128.600,76,HFM,0.18,B,TF,GojeBH-2,Korea - Republic of,,,4,15,,76,0,166,0,0,90,14.5,,7.9,,4.9,,,,,,,,,,,,,,,,,granodio,,,,,HAIMLE2003,,,,LAT - LON read of map,20040216,AM,CRB,218,NO,NO,SEA5249
wsm10457,,34.900,128.600,86,HFM,0.12,D,TF,GojeBH-1,Korea - Republic of,,,4,30,,86,0,176,0,0,90,11.4,,5.7,,3.2,,,,,,,,,,,,,,,,,granodio,,,,,HAIMLE2003,,,,LAT - LON read of map,20040216,AM,CRB,218,NO,NO,SEA5248
wsm10458,,37.500,126.900,59,HFM,0.05,E,TF,Seoul,Korea - Republic of,,,5,42,,59,0,149,0,0,90,6.4,,3.3,,1.2,,,,,,,,,,,,,,,,,granite,,,,,HAIMLE2003,,,,LAT - LON read of map,20040216,AM,CRB,85,NO,NO,KOR5
wsm10459,,37.600,126.800,82,HFM,0.03,B,TF,NorthSeoul,Korea - Republic of,,,3,18,,82,0,172,0,0,90,6.0,,4.1,,0.7,,,,,,,,,,,,,,,,,gneiss,,,,,HAIMLE2003,,,,LAT - LON read of map,20040216,AM,CRB,78,NO,NO,KOR4
wsm10460,,37.600,127.100,74,HFM,0.04,C,TF,NorthSeoul,Korea - Republic of,,,2,3,,74,0,164,0,0,90,4.6,,2.5,,1.0,,,,,,,,,,,,,,,,,granite,,,,,HAIMLE2003,,,,LAT - LON read of map,20040216,AM,CRB,104,NO,NO,KOR3
